campaignId,campaignName,account,status,cost,shopifyOrders,shopifyRevenue,platformRevenue,platformOrders,roas,beRoas,profit,marginPct,cpp,cpc,cpm,ctr,cpi,impressions,clicks,installs,conversions,roas_n-1,roas_n-2,roas_n-3,roas_n-4,roas_n-5,roas_n-6,roas_n-7
5cfb1bf87eb3be63006d76a4eb3d050d,KID398_VPOS - 19052026 - MD_Wiliam - AD_PDuc,Axon AppLovin Account,,160.74,8,352.8,352.8,8,2.1948,1.47,79.25999999999999,22.46598639455782,20.0925,0.5720284697508897,38.61157818880615,0.06749939947153495,,4163,281,0,0,0.7536,,,,,,
b784a2d26421e0d5c37ccc6ab1c65889,BST043_SCRD - 20052026 - MD_Olwen - AD_PDuc,Axon AppLovin Account,,129.06,5,396.15,396.15,5,3.0695,1.45,144.14689655172413,36.38694851741111,25.812,0.9703759398496241,61.282051282051285,0.06315289648622982,,2106,133,0,0,,,,,,,
9b3fedf85d6b1fe4fbdd2798642fd181,FIF049_KHO - 18052026 - MD_Wiliam - AD_PDuc,Axon AppLovin Account,,134.1,5,211,165.6,4,1.5735,1.58,-0.5556962025316352,-0.2633631291619124,26.82,0.6447115384615384,51.399003449597544,0.07972403219624377,,2609,208,0,0,0.7833,1.661,,,,,
50352daf1ec0653992369455bdcd8774,HAIR027_TBS - 18052026 - MD_James - AD_TVY,Axon AppLovin Account,,305.19,4,157.6,157.6,4,0.5164,1.6,-206.69,-131.1484771573604,76.2975,0.6535117773019272,45.448994787788536,0.06954579300074461,,6715,467,0,0,3.0308,0.6658,,,,,
eaf6d3096142fc5f9dc233add2bf12ce,HME348_BCUF - 13052026 - MD_Kim - AD_TVY,Axon AppLovin Account,,155.71,4,119.6,156.5,5,0.7681,1.33,-65.78518796992483,-55.004337767495684,38.9275,0.8462500000000001,57.24632352941177,0.06764705882352941,,2720,184,0,0,1.3512,1.2238,0,1.0033,0.8053,0.6067,2.5576
c1d85547da29f5bb481d0e67afe52b84,INDE270_PHC - 18052026 - MD_Jamie - AD_TVY,Axon AppLovin Account,,132.2,4,137,137,4,1.0363,1.39,-33.638848920863296,-24.553904321798026,33.05,0.7224043715846994,55.54621848739496,0.07689075630252101,,2380,183,0,0,0.6225,1.0092,,,,,
43c397aee974359e0dd683102bae46d8,JBS110_PHC - 19052026 - MD_Kim - AD_PDuc,Axon AppLovin Account,,160.75,4,227.54,227.54,4,1.4155,1.39,2.9478417266187193,1.2955268201717145,40.1875,0.7340182648401826,47.58732978093546,0.06483126110124333,,3378,219,0,0,0.4611,,,,,,
d31b0e691fe549f23d89eb52057486d3,JBS130_TB - 20052026 - MD_Ethan - AD_KVY,Axon AppLovin Account,,146.28,4,242.5,242.5,4,1.6578,1.53,12.216732026143774,5.037827639646917,36.57,0.6741013824884793,45.94221105527638,0.06815326633165829,,3184,217,0,0,,,,,,,
96a56dd4ee4e559552d9e589c0125e05,RETIRE014_RWG - 18052026 - MD_Wiliam - AD_PDuc,Axon AppLovin Account,,169.24,4,154.05,219.85,6,0.9102,1.49,-65.85073825503356,-42.74634096399452,42.31,0.7589237668161435,51.36267071320182,0.06767830045523521,,3295,223,0,0,1.1187,1.596,,,,,
8d7cbbb0876420ee9813cde12a86ffd4,RETIRE088_WDCAP - 14052026 - MD_Jamie - AD_TVY,Axon AppLovin Account,,151.94,4,273.3,373.5,6,1.7987,1.41,41.889787234042586,15.327401110150966,37.985,1.1687692307692308,41.45702592087312,0.03547066848567531,,3665,130,0,0,0.3991,0.4436,11.7419,0,1.2292,1.0321,
1b9a79802e736a2047eaa7bbdcbb3480,DOC078_MG - 20052026 - MD_James - AD_TMY,Axon AppLovin Account,,152.4,3,116.65,208.4,5,0.7654,1.61,-79.94658385093169,-68.53543407709532,50.800000000000004,0.6803571428571429,47.56554307116105,0.06991260923845194,,3204,224,0,0,,,,,,,
cd437d15a3c92262a04774916131a9a9,HOB045_CSUN - 19052026 - MD_Olwen - AD_PDuc,Axon AppLovin Account,,148.61,3,152.65,195.66,4,1.0272,1.49,-46.16033557046981,-30.239328903026408,49.53666666666667,0.8348876404494383,48.35990888382688,0.05792385291246339,,3073,178,0,0,0.7338,,,,,,
6d4a9cf2b346bab852845cf0a80373be,INDE068_PHC - 18052026 - MD_James - AD_TVY,Axon AppLovin Account,,116.67,3,97.44,128.34,4,0.8352,1.39,-46.569280575539565,-47.79277563171138,38.89,0.9887288135593221,63.20151679306609,0.06392199349945829,,1846,118,0,0,1.1231,0,,,,,
1a59d6838fef15e4fbd637ad8579c32b,MUSIC117_WDCAP - 18052026 - MD_Olwen - AD_PDuc,Axon AppLovin Account,,152.73,3,168.14,88.29,2,1.1009,1.41,-33.48177304964538,-19.913032621413933,50.91,0.9200602409638554,53.98727465535525,0.05867797808412867,,2829,166,0,0,1.197,1.4272,,,,,
48a6eb05e0577b7efa8151ff84434f56,DAD221_BBAS - 20052026 - MD_Ophelia - AD_TTIEN,Axon AppLovin Account,,82.25,2,77.8,77.8,2,0.9459,1.72,-37.01744186046512,-47.58025946075208,41.125,0.9346590909090909,48.90011890606421,0.052318668252080855,,1682,88,0,0,,,,,,,
4ff56ad63b83b2800258646a560b7724,HOB119_TB - 19052026 - MD_Keelin - AD_TVY,Axon AppLovin Account,,135.91,2,84.8,44.9,1,0.6239,1.53,-80.4851633986928,-94.91174929091133,67.955,0.6761691542288557,43.173443456162644,0.06385006353240152,,3148,201,0,0,1.5587,,,,,,
61eb085562e78f8c4c69afc97e0da602,KID348_VPOS - 18052026 - MD_James - MD_Wiliam - AD_TVY,Axon AppLovin Account,,84.12,2,78.8,78.8,2,0.9368,1.47,-30.51455782312926,-38.724058151179264,42.06,0.7314782608695652,51.01273499090358,0.06973923590054579,,1649,115,0,0,1.3886,0.5294,,,,,
cd6c8f4a574bd3c3b837770888098541,OFC025_TB - 18052026 - MD_Wiliam - AD_PDuc,Axon AppLovin Account,,143.78,2,84.8,164.65,3,0.5898,1.53,-88.35516339869281,-104.19240966826983,71.89,0.9397385620915033,50.96774193548387,0.05423608649415101,,2821,153,0,0,0.9485,1.8096,,,,,
85d41d8850c67f4c303e751c43073dd1,OFC031_TB - 18052026 - MD_Ophelia - MD_Olwen - AD_TVY,Axon AppLovin Account,,111.22,1,44.9,75.8,2,0.4037,1.53,-81.87359477124183,-182.34653623884594,111.22,0.9930357142857142,51.682156133829,0.05204460966542751,,2152,112,0,0,1.7214,2.1418,,,,,
8f0cfe3a1a9f066bb4bac38e6b8219bd,DAD247_PAHA - 20052026 - MD_Ophelia - AD_TMY,Axon AppLovin Account,,77.27,0,0,43.9,1,0,1.34,-77.27,,,1.3322413793103447,56.77443056576047,0.0426157237325496,,1361,58,0,0,,,,,,,
